col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col;col
-3;2;1;0;0;0;0;-2;-1;-2;-1;-1;-1;-2;-2;-3;-2;-1;-2;0;6;6;5;4;5;4;3;4;-2;-2;-3;-2;-2;-4;-4;-2;-3;-3;-3;-2;-3;-2;-3;-2;-4;-4;-4;-6
3;-3;-1;4;7;6;7;6;11;6;6;5;6;6;5;6;6;6;7;6;6;5;5;6;10;5;5;5;6;5;5;8;5;6;5;6;5;13;7;6;5;6;5;6;6;-1;-1;0
2;-2;4;9;2;2;2;2;-1;2;1;3;2;3;4;4;0;2;2;3;4;2;2;2;2;1;2;3;3;3;3;4;3;2;2;2;3;1;3;2;1;2;1;3;9;4;-1;1
3;2;8;-1;-4;-5;-5;-5;-4;-5;-5;-5;-5;-2;1;-1;-2;-1;-1;-1;-5;-6;-3;-6;-6;-5;-5;-4;-6;-4;-6;-6;-4;-4;-3;-5;-5;-4;-4;-5;-5;-4;-5;-6;-3;7;5;2
2;6;3;-3;-5;-4;-3;-5;-4;-3;-2;-3;-5;-2;-1;-1;-1;1;3;0;-1;-5;-4;-5;-4;-4;-4;-4;-4;-5;-5;-4;-3;-1;10;5;-2;-2;10;1;1;7;3;1;-3;-2;7;3
4;8;1;-5;-6;-5;-4;-4;0;12;1;-2;-3;-2;-2;-2;-1;2;3;1;1;-4;-4;-5;-4;-4;-4;-4;-3;-5;7;-1;-1;13;9;2;4;6;5;2;6;12;3;7;3;-4;8;5
3;8;0;-3;-3;-5;-4;-2;4;5;2;0;-1;-1;-2;-3;4;4;-1;2;5;-4;-4;-4;-3;-3;-4;-5;-5;28;25;14;14;12;8;6;-2;1;1;1;13;26;12;4;2;-1;6;3
4;7;0;-4;-5;-4;-3;-3;-4;0;0;-1;0;-2;0;0;2;1;1;1;5;-4;-3;-4;-4;-4;-3;-2;9;17;11;7;12;10;3;1;-1;3;3;2;10;20;8;1;8;2;7;4
2;8;-1;-3;-3;-3;-3;-3;-2;-1;1;0;1;-1;-1;1;0;1;-1;4;4;-4;-5;-5;-5;-5;-4;-2;11;24;6;4;6;7;2;-2;-1;1;4;5;22;31;12;1;6;-1;7;4
3;7;-1;-3;-3;-4;0;1;3;0;1;0;1;-3;2;2;0;0;2;4;-1;-5;-3;-5;-5;-5;-3;3;9;12;10;10;2;4;3;3;0;2;6;7;7;13;23;21;23;2;8;3
